Candidate_ID,citation_key,resolution_method,title_match_score,expected_title,matched_title,year,doi,status
WC001,benhnaien2026,DOI,1.000,Digital Twin-based framework for real-time fault diagnosis and prognosis of industrial robots using unsupervised learning and real experimental data,Digital Twin-based framework for real-time fault diagnosis and prognosis of industrial robots using unsupervised learning and real experimental data,2026,10.1007/s41060-026-01164-z,verified
WC015,yang2026,DOI,1.000,A Study on Digital Twin-Driven Predictive Maintenance Methods for High-Speed Winding and Baling Equipment,A Study on Digital Twin-Driven Predictive Maintenance Methods for High-Speed Winding and Baling Equipment,2026,10.1109/icmtim69588.2026.11525488,verified
WC016,madhavi2025,DOI,1.000,Digital Twin Driven Predictive Maintenance for Belt Driven Conveyor Systems in Smart Factories,Digital Twin Driven Predictive Maintenance for Belt Driven Conveyor Systems in Smart Factories,2025,10.1109/csitss67709.2025.11295713,verified
WC017,lou2024,DOI,1.000,A Data-driven Digital Model for Remaining Useful Life Prediction of Aero-engines,A Data-driven Digital Model for Remaining Useful Life Prediction of Aero-engines,2024,10.1109/dtpi61353.2024.10778830,verified
WC018,george2025,DOI,1.000,Explainable Digital Twin Framework for Aircraft Engine Maintenance,Explainable Digital Twin Framework for Aircraft Engine Maintenance,2025,10.1109/ic2nc67409.2025.11375942,verified
WC020,aivaliotis2019,DOI,1.000,Using digital twin for maintenance applications in manufacturing: State of the Art and Gap analysis,Using digital twin for maintenance applications in manufacturing: State of the Art and Gap analysis,2019,10.1109/ice.2019.8792613,verified
WC023,stupina2026,DOI,1.000,Application of Graph Neural Networks for Structural Dependency Analysis in Industrial Digital Twins Using the UCI AI4I 2020 Predictive Maintenance Dataset,Application of Graph Neural Networks for Structural Dependency Analysis in Industrial Digital Twins Using the UCI AI4I 2020 Predictive Maintenance Dataset,2026,10.1109/icieam69213.2026.11549674,verified
WC027,lu2025,DOI,1.000,Digital Twin and Data-Driven Remaining Useful Life Prediction of Gearbox,Digital Twin and Data-Driven Remaining Useful Life Prediction of Gearbox,2025,10.1109/access.2025.3583313,verified
WC029,myakala2025,DOI,1.000,"Unified Predictive Maintenance with Generative Anomaly Injection, RL Scheduling in Data-Driven Digital Twins","Unified Predictive Maintenance with Generative Anomaly Injection, RL Scheduling in Data-Driven Digital Twins",2025,10.1109/fmlds67896.2025.00039,verified
WC030,shahin2024,DOI,1.000,"Digital Twins in Prognostics and Health Management: A Review of Diagnostic, Remaining Useful Life, and Predictive Maintenance Applications","Digital Twins in Prognostics and Health Management: A Review of Diagnostic, Remaining Useful Life, and Predictive Maintenance Applications",2024,10.1109/icsrs63046.2024.10927469,verified
