Candidate_ID,Title,full_text_decision_category,quality_rating,total_score_out_of_23,RQ_alignment_0_3,AI_or_RUL_specificity_0_3,digital_twin_clarity_0_3,maintenance_decision_clarity_0_3,system_or_risk_metric_relevance_0_3,dataset_transparency_0_2,method_validation_strength_0_3,warehouse_DT_transferability_0_3,detected_methods,detected_datasets,main_quality_note
WC001,Digital Twin-based framework for real-time fault diagnosis and prognosis of industrial robots using unsupervised learning and real experimental data,Include - core evidence,High,22,3,3,3,3,3,2,3,2,"LSTM, CNN, CNN-LSTM, Random Forest, Autoencoder, Transformer, Reinforcement Learning, SHAP, GAN",Experimental industrial robot data generated/analyzed in the study.,Not warehouse-specific and not a multi-asset priority ranking study.
WC015,A Study on Digital Twin-Driven Predictive Maintenance Methods for High-Speed Winding and Baling Equipment,Include - core evidence,Medium,18,3,2,2,2,2,2,3,2,"LSTM, CNN, Autoencoder, SVM, Kalman, Genetic Algorithm",High-speed winding and baling equipment case data; public benchmark status not stated.,Domain is packaging/winding equipment and data availability/licence is unclear.
WC016,Digital Twin Driven Predictive Maintenance for Belt Driven Conveyor Systems in Smart Factories,Include - core evidence,High,21,3,3,3,2,2,2,3,3,"LSTM, Random Forest, Autoencoder, Transformer, GAN, SVM, Physics-informed",Simulated/synthetic conveyor data generated through the proposed DT; real conveyor validation is future work.,Mainly conceptual/simulation-based; lacks real warehouse throughput evaluation.
WC017,A Data-driven Digital Model for Remaining Useful Life Prediction of Aero-engines,Include - supporting method evidence,Low,5,1,1,1,0,0,0,1,1,,NASA C-MAPSS aero-engine dataset.,PDF text extraction is partially encoded; domain is aircraft engines and decision layer is limited.
WC018,Explainable Digital Twin Framework for Aircraft Engine Maintenance,Include - supporting method evidence,Medium,19,3,3,2,2,2,2,3,2,"LSTM, CNN, CNN-LSTM, Random Forest, SHAP, SVM",Synthetic IoT streams and NASA C-MAPSS benchmark.,Aviation domain and synthetic setting; not a warehouse throughput study.
WC020,Using digital twin for maintenance applications in manufacturing: State of the Art and Gap analysis,Include - background/review evidence,Medium,14,2,1,3,2,1,2,1,2,,Not applicable - review/gap analysis.,Older review-style paper and not an empirical decision-ranking study.
WC023,Application of Graph Neural Networks for Structural Dependency Analysis in Industrial Digital Twins Using the UCI AI4I 2020 Predictive Maintenance Dataset,Include - core evidence,Medium,20,3,3,2,2,2,2,3,3,"LSTM, Random Forest, GNN, Graph Neural Network, GAN",UCI AI4I 2020 Predictive Maintenance Dataset.,Focuses on dependency/anomaly risk rather than RUL prediction.
WC027,Digital Twin and Data-Driven Remaining Useful Life Prediction of Gearbox,Include - core evidence,Medium,18,2,3,3,1,2,2,3,2,"LSTM, Transformer, Bayesian, SHAP, GAN, SVM, Particle Swarm, Physics-informed",Gearbox case/experimental data; public benchmark status not stated.,Single-asset gearbox focus.
WC029,"Unified Predictive Maintenance with Generative Anomaly Injection, RL Scheduling in Data-Driven Digital Twins",Include - core evidence,High,21,3,3,3,3,2,2,3,2,"LSTM, CNN, Random Forest, XGBoost, Autoencoder, Reinforcement Learning, Q-learning, SHAP, GAN","Public XJTU-SY, AI4I 2020 and NASA C-MAPSS datasets.",Industry 4.0 setting is generic and not warehouse-specific.
WC030,"Digital Twins in Prognostics and Health Management: A Review of Diagnostic, Remaining Useful Life, and Predictive Maintenance Applications",Include - background/review evidence,High,23,3,3,3,3,3,2,3,3,"LSTM, CNN, Autoencoder, Kalman, Health Index",Not applicable - review.,Review paper; does not test maintenance priority ranking.
WC033,A Simulation-Based Digital Twin Framework for Predictive Maintenance of DC Motors,Include - core evidence,High,21,3,2,3,3,3,2,3,2,"SHAP, GAN, Physics-informed",Simulation-only codebase and logs.,Simulation-only and DC motor domain; RUL output is less central than health/probability triggers.
WC035,Real-Time Degradation Monitoring and Prognosis of Ball Mill Liners Using a Physics-Informed Digital Twin,Include - core evidence,Medium,19,3,3,2,2,2,2,3,2,"Reinforcement Learning, PINN, FNO, Health Index, Physics-informed",Three-month data from a 5 MW industrial ball mill; public status not stated.,Not warehouse-specific; uses industrial case data rather than public benchmark data.
WC037,Optimizing Predictive Maintenance Based on Digital Twins Using Artificial Intelligence Tools,Include - core evidence,Medium,20,3,3,3,2,2,2,3,2,"LSTM, CNN, CNN-LSTM, Random Forest, Autoencoder, Transformer, SHAP",Public industrial water pump sensor dataset from Kaggle with 51 sensors.,Failure prediction rather than RUL ranking is the central output.
WC038,The use of Digital Twin for predictive maintenance in manufacturing,Include - core evidence,Medium,20,3,3,3,2,2,2,3,2,Kalman,Industrial robot case study using controller and accelerometer data.,Not a public benchmark dataset and not warehouse-specific.
WC039,Overview of predictive maintenance based on digital twin technology,Include - background/review evidence,High,23,3,3,3,3,3,2,3,3,"LSTM, CNN, CNN-LSTM, Transformer, Bayesian, GAN",Not applicable - overview/review.,Review/overview only; no original algorithmic evaluation.
WC040,Digital twin-driven remaining useful life prediction for rolling element bearing,Include - supporting method evidence,Medium,19,3,3,3,2,1,2,3,2,"LSTM, CNN, CNN-LSTM, Autoencoder, Transformer, Bayesian, GAN, SVM, Kalman, Particle Swarm",Rolling element bearing case/experimental data described in the paper.,Single bearing asset and no system-level decision model.
WC043,Research on Remaining Useful Life Prediction of Equipment Based on Digital Twins,Include - core evidence,High,22,3,3,3,3,3,2,3,2,"LSTM, CNN, Random Forest, XGBoost, Autoencoder, Transformer, Bayesian, SHAP, GAN, PINN",Public CALCE CS2_35 lithium-ion battery dataset.,Equipment/battery case rather than warehouse asset network; throughput metric must be added in the prototype.
WC003,"Reliability-aware vibration measurement framework for predictive maintenance of rotating machinery: Probability of detection, uncertainty-quantified remaining useful life, and simulator-based hardware-in-the-loop reliability evaluation",Include - supporting method evidence,High,21,3,3,2,3,3,2,3,2,"LSTM, CNN, Autoencoder, Bayesian, SHAP, GAN, Kalman, Health Index, Physics-informed","NASA C-MAPSS, C-MAPSS, XJTU-SY, publicly available, benchmark dataset",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC011,Remaining Useful Life Prediction through Gradient Boosting Transfer Learning for Semiconductor Digital Twins,Include - core evidence,Medium,19,3,3,2,2,2,2,3,2,"LSTM, Gradient Boosting, Autoencoder, Transformer","IMS, simulation",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC012,A Digital-Twin Driven Modeling Approach of System Degradation for Remaining Useful life Prediction,Include - core evidence,High,21,3,3,3,2,3,2,3,2,"LSTM, CNN, Random Forest, XGBoost, GNN, GAN, SVM, Health Index, Physics-informed",simulation,Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC013,Digital Twin for Predictive Maintenance,Include - supporting method evidence,Medium,20,3,2,3,3,2,2,3,2,GAN,simulation,Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC014,Predictive Maintenance on Aircraft and Applications with Digital Twin,Include - supporting method evidence,Low,11,2,1,1,1,2,1,1,2,,"C-MAPSS, IMS",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC026,Applications and Analysis of Digital Twin in Prognostic and Health Management,Include - background/review evidence,Medium,16,2,1,3,1,2,2,2,3,GAN,simulation,Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC041,Digital twin-driven remaining useful life prediction for gear performance degradation: A review,Include - background/review evidence,High,21,3,3,3,2,3,2,3,2,"LSTM, CNN, Autoencoder, Bayesian, SHAP, GAN, Kalman, Health Index",simulation,Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC045,Designing a framework for a data-driven digital twin model to predict remaining useful life,Include - core evidence,High,22,3,3,3,2,3,2,3,3,"LSTM, CNN, Random Forest, Gradient Boosting, XGBoost, Autoencoder, Transformer, Bayesian, Reinforcement Learning, GAN","C-MAPSS, XJTU-SY, PRONOSTIA, IMS, PHM08",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC046,Remaining useful life aware physics-informed Bayesian digital twin for safety-constrained control in robot-integrated battery manufacturing,Include - core evidence,High,23,3,3,3,3,3,2,3,3,"LSTM, Autoencoder, Transformer, Bayesian, Reinforcement Learning, SHAP, GAN, PINN, Kalman, Physics-informed",simulation,Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC047,Digital twin-inspired methods for rotating machinery intelligent fault diagnosis and remaining useful life prediction: A state-of-the-art review and future challenges,Include - background/review evidence,High,21,3,3,3,2,3,2,3,2,"LSTM, CNN, Autoencoder, Transformer, Bayesian, Reinforcement Learning, SHAP, GAN, SVM, Kalman","XJTU-SY, IMS, simulation",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC048,Digital twin innovations for induction motor monitoring and predictive maintenance: A 2020–2025 review,Include - background/review evidence,High,23,3,3,3,3,3,2,3,3,"LSTM, CNN, Random Forest, Transformer, Bayesian, GNN, Graph Neural Network, Reinforcement Learning, SHAP, GAN","benchmark dataset, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC049,Reference architecture for IoT-based predictive maintenance systems using digital twins,Include - supporting method evidence,Medium,20,3,2,3,3,2,2,3,2,"Bayesian, GAN, Health Index","IMS, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC051,"Explainable, interpretable, and trustworthy AI for an intelligent digital twin: A case study on remaining useful life",Include - supporting method evidence,Medium,19,2,3,3,1,3,2,3,2,"LSTM, Gradient Boosting, Transformer, Bayesian, SHAP, GAN, Kalman, Health Index, Physics-informed","C-MAPSS, IMS, PHM08, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC052,Cross-domain digital twin architecture for predictive maintenance via machine learning and Large Language Models,Include - supporting method evidence,Medium,20,3,3,2,2,3,2,3,2,"LSTM, Random Forest, GAN","IMS, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC057,Digital Twin-based Predictive Maintenance for Sheet Metal Bending,Include - core evidence,High,22,3,3,3,3,3,2,3,2,GAN,"IMS, simulation",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC058,Predictive maintenance of standalone steel industrial components powered by a dynamic reliability digital twin model with artificial intelligence,Include - core evidence,High,22,3,3,3,3,3,2,3,2,"Gradient Boosting, Bayesian, SHAP, GAN","simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC059,Digital Twins for Predictive Maintenance,Include - supporting method evidence,Medium,19,3,2,2,3,2,2,3,2,SHAP,"IMS, simulation",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC060,An Agentic AI-based Architecture for Digital Twins Specialized in Predictive Maintenance: Application to Ball Mills,Include - core evidence,High,22,3,3,3,3,3,2,3,2,"LSTM, CNN, Autoencoder, Reinforcement Learning, GAN","simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
WC067,State-of-the-art review and synthesis: A requirement-based roadmap for standardized predictive maintenance automation using digital twin technologies,Include - background/review evidence,High,22,3,3,3,3,3,2,3,2,"LSTM, Random Forest, Bayesian, SHAP, GAN, PINN, SVM, Kalman, Genetic Algorithm, Health Index","C-MAPSS, IMS, public dataset, simulation, case study",Quality appraisal is based on full-text extraction and keyword/evidence coding; manually review before final citation if used as a core argument.
