"Candidate_ID","title_abstract_decision","reason_category","reason_detail","next_step","relevance_tags","screening_confidence","abstract_lookup_status","abstract_source","abstract_evidence_summary"
"WC001","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","DOI publisher meta: dc.description","Full/page abstract reviewed; source: DOI publisher meta: dc.description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC002","Exclude","Domain-specific weak fit","Re-screened using a Warwick Library Search snippet/context record. The article is mainly in a domain such as batteries, EVs, power systems, transport, buildings, or generic assets without a strong warehouse-transferable RUL/DT priority-ranking link.","Do not carry forward to full-text screening.","AI/ML; RUL/prognostics","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: AI/ML; RUL/prognostics."
"WC003","Include","Direct RUL/DT/PdM relevance","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates RUL/prognostics; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Predictive maintenance; Decision/risk/system; Industrial transfer","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: RUL/prognostics; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC004","Maybe","Potential background/method source","Re-screened using a Warwick Library Search snippet/context record. The study shows some relevant evidence (AI/ML; RUL/prognostics; Decision/risk/system) but the domain or decision-support link is not strong enough for final inclusion without full-text verification.","Verify full abstract/full text before final inclusion.","AI/ML; RUL/prognostics; Decision/risk/system","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: AI/ML; RUL/prognostics; Decision/risk/system."
"WC005","Exclude","Domain-specific weak fit","Re-screened using a Warwick Library Search snippet/context record. The article is mainly in a domain such as batteries, EVs, power systems, transport, buildings, or generic assets without a strong warehouse-transferable RUL/DT priority-ranking link.","Do not carry forward to full-text screening.","AI/ML; Decision/risk/system","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: AI/ML; Decision/risk/system."
"WC006","Exclude","Domain-specific weak fit","Re-screened using a Warwick Library Search snippet/context record. The article is mainly in a domain such as batteries, EVs, power systems, transport, buildings, or generic assets without a strong warehouse-transferable RUL/DT priority-ranking link.","Do not carry forward to full-text screening.","AI/ML","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: AI/ML."
"WC007","Exclude","Outside technical RQ scope","Re-screened using a Warwick Library Search snippet/context record. The main focus is not technical RUL-to-maintenance decision support, so it is outside the dissertation's model-based evaluation scope.","Do not carry forward to full-text screening.","AI/ML; Digital twin; Decision/risk/system","High","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: AI/ML; Digital twin; Decision/risk/system."
"WC008","Maybe","Potential background/method source","Re-screened using a Warwick Library Search snippet/context record. The study shows some relevant evidence (RUL/prognostics; Industrial transfer) but the domain or decision-support link is not strong enough for final inclusion without full-text verification.","Verify full abstract/full text before final inclusion.","RUL/prognostics; Industrial transfer","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: RUL/prognostics; Industrial transfer."
"WC009","Exclude","Domain-specific weak fit","Re-screened using a Warwick Library Search snippet/context record. The article is mainly in a domain such as batteries, EVs, power systems, transport, buildings, or generic assets without a strong warehouse-transferable RUL/DT priority-ranking link.","Do not carry forward to full-text screening.","AI/ML; Predictive maintenance","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: AI/ML; Predictive maintenance."
"WC010","Maybe","Transferability uncertain","Re-screened using a Warwick Library Search snippet/context record. The study shows some relevant evidence (RUL/prognostics; Predictive maintenance; Decision/risk/system) but the domain or decision-support link is not strong enough for final inclusion without full-text verification.","Verify full abstract/full text before final inclusion.","RUL/prognostics; Predictive maintenance; Decision/risk/system","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: RUL/prognostics; Predictive maintenance; Decision/risk/system."
"WC011","Include","Direct RUL/DT/PdM relevance","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC012","Include","Direct RUL/DT/PdM relevance","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates AI/ML; RUL/prognostics; Decision/risk/system, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; RUL/prognostics; Decision/risk/system","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: AI/ML; RUL/prognostics; Decision/risk/system."
"WC013","Include","Direct RUL/DT/PdM relevance","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates Digital twin; Predictive maintenance; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","Digital twin; Predictive maintenance; Industrial transfer","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: Digital twin; Predictive maintenance; Industrial transfer."
"WC014","Include","Direct RUL/DT/PdM relevance","Re-screened using a Warwick Library Search snippet/context record. Evidence indicates RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","Medium","warwick_library_snippet","Warwick Library Search result snippet","Warwick Library snippet reviewed; source: Warwick Library Search result snippet; evidence terms: RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
"WC015","Include","Direct RUL/DT/PdM relevance","Re-screened using a readable page/publisher abstract. Evidence indicates AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer, making the study relevant to AI/RUL, digital twin predictive maintenance, or maintenance decision-support themes.","Retrieve full text and extract RUL/DT/maintenance-decision evidence.","AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer","High","full_or_page_abstract","page meta: twitter:description","Full/page abstract reviewed; source: page meta: twitter:description; evidence terms: AI/ML; RUL/prognostics; Digital twin; Predictive maintenance; Decision/risk/system; Industrial transfer."
