"Stage","Metric","Count","Notes"
"Identification","Records identified from database/platform displayed hits","6416","Previously recorded total across Scopus; Web of Science; IEEE Xplore; Google Scholar; ScienceDirect; and Warwick Library Search. Includes overlap and approximate Google Scholar count."
"Identification","Records captured for pilot screening","100","Records captured/exported from database result pages into raw CSV."
"Deduplication","Duplicates removed before screening","15","Previously removed by normalised title."
"Screening","Records screened using title and abstract evidence","85","Re-screened on 8 July 2026 using Chrome-accessed abstracts where available and Warwick Library Search snippets where full abstracts were blocked or unavailable."
"Screening","Records with full/page abstracts reviewed","30","Readable abstracts were extracted from source pages, DOI publisher pages, IEEE Xplore, Springer/MDPI and similar pages where available."
"Screening","Records with Warwick Library snippet/context reviewed","55","Used when source pages lacked readable abstracts, had no URL, or ScienceDirect/Elsevier pages were blocked by human-verification/captcha."
"Screening","Records excluded after title/abstract screening","21","Excluded for weak RQ fit, unrelated domain, non-technical/adoption/privacy focus, lack of DT/RUL/PdM decision relevance, or duplicate record."
"Eligibility","Full-text reports sought","64","Includes 47 Include records plus 17 Maybe records requiring full-text verification."
"Eligibility","Reports not retrieved","TBD","To be completed after checking Warwick Library, publisher pages, DOI links and open-access versions."
"Eligibility","Full-text reports assessed for eligibility","TBD","To be completed after full-text retrieval."
"Eligibility","Reports excluded with reasons","TBD","To be completed after full-text screening."
"Included","Studies included in final literature review synthesis","TBD","Expected to be narrower than the 64 full-text-seeking records."
